# ----------------------------------------
# Reports snapshot
# Account: KAA
# Property: website
# ----------------------------------------
#  
# Start date: 20250801
# End date: 20250831
Active users,New users,Average engagement time per active user,Event count
392,365,161.6173469387755,5837

# Start date: 20250701
# End date: 20250731
Active users,New users,Average engagement time per active user,Event count
78,75,75.26923076923077,694

#  
# Start date: 20250801
# End date: 20250831
Page title and screen class,Views,Active users,Event count,Bounce rate
Rebecca Rayls | kokomoartassociation,0,0,0,0

# Start date: 20250701
# End date: 20250731
Page title and screen class,Views,Active users,Event count,Bounce rate
"Kokomo Art Association | shop artwork | Downtown, Kokomo, Center Township, Indiana, United States",66,54,234,0.36666666666666664
"Artists | Kokomo Art Association | Kokomo, Indiana",43,9,55,0.2
"Classes | Kokomo Art Association | Kokomo, Indiana",42,14,74,0.05555555555555555
Workshops & Events | kokomoartassociation,30,21,93,0.09090909090909091
"About | Kokomo Art Association | Kokomo, Indiana",18,12,38,0.2857142857142857
"Artworks Gallery | Kokomo Art Association | Kokomo, Indiana",13,5,26,0.4444444444444444
"Kokomo Art Center | Kokomo Art Association | Kokomo, Indiana",4,2,4,0
KAA 2025 Holiday Bazaar | kokomoartassociation,0,0,0,0
Membership | kokomoartassociation,8,7,20,0
Halloween Junk Journaling Workshop | kokomoartassociation,0,0,0,0
Volunteer | kokomoartassociation,7,5,20,0
Events | kokomoartassociation,0,0,0,0
Watercolor Techniques | kokomoartassociation,15,6,19,0.2222222222222222
Zentangle® | kokomoartassociation,8,5,13,0.25
Digital Photography | kokomoartassociation,0,0,0,0
Calendar | kokomoartassociation,0,0,0,0
Contact Us | kokomoartassociation,4,3,13,0
Membership Benefits | kokomoartassociation,1,1,4,0
Workshops & Events   | kokomoartassociation,0,0,0,0
Marilyn Aleman | kokomoartassociation,4,2,4,0
Painting with Ramona | kokomoartassociation,8,4,10,0
Don Wilka | kokomoartassociation,6,4,11,0.3333333333333333
Mission Statement | kokomoartassociation,0,0,0,0
Dixie Ben-net | kokomoartassociation,6,2,6,0
Lesley Wysong | kokomoartassociation,4,2,4,0
Ramona Daniels | kokomoartassociation,2,1,2,0
Shelly Wilder | kokomoartassociation,2,1,2,0
Steve Creighton | kokomoartassociation,2,1,2,0
Mark Hobson | kokomoartassociation,2,1,2,0
Lisa Ananich Freeland | kokomoartassociation,3,2,7,0
Peggy Ragland Hobson | kokomoartassociation,2,1,2,0
Recycled Art Show | kokomoartassociation,2,1,6,0
Angela Walthour | kokomoartassociation,2,1,2,0
Corinne McAuley | kokomoartassociation,2,1,2,0
Sip & Paint Parties | kokomoartassociation,4,1,9,0
Trash to Treasure Junk Journaling Workshop | kokomoartassociation,0,0,0,0
Textured Painting Class| 4 Sessions (Tuesdays 5/6- 27/25) @1 p.m. | kokomoartassociation,2,2,5,0
Halloween Junk Journal Class | kokomoartassociation,0,0,0,0
Laura Groves | kokomoartassociation,0,0,0,0
404 | kokomoartassociation,0,0,0,0
Colette Inderhees | kokomoartassociation,0,0,0,0
Donate | kokomoartassociation,0,0,0,0
Fall Junk Journal Class | kokomoartassociation,0,0,0,0
Holiday Bazaar at Artworks Gallery | kokomoartassociation,0,0,0,0
Paper Cutting Class by Christina Hollering | kokomoartassociation,0,0,0,0
Rebecca Rayls | kokomoartassociation,1,2,5,0.5

#  
# Start date: 20250801
# End date: 20250831
First user source / medium,Active users
(direct) / (none),216
google / organic,104
m.facebook.com / referral,17
so / mail,15
bing / organic,7
l.facebook.com / referral,8
visitkokomo.org / referral,5
substack / email,3
yahoo / organic,3
duckduckgo / organic,4
lm.facebook.com / referral,4
facebook.com / referral,2
l.instagram.com / referral,2
dnserrorassist.att.net / referral,1
manage.wix.com / referral,1
us.search.yahoo.com / referral,0

# Start date: 20250701
# End date: 20250731
First user source / medium,Active users
(direct) / (none),27
google / organic,38
m.facebook.com / referral,1
so / mail,0
bing / organic,4
l.facebook.com / referral,0
visitkokomo.org / referral,3
substack / email,2
yahoo / organic,2
duckduckgo / organic,0
lm.facebook.com / referral,0
facebook.com / referral,0
l.instagram.com / referral,0
dnserrorassist.att.net / referral,0
manage.wix.com / referral,0
us.search.yahoo.com / referral,1

#  
# Start date: 20250801
# End date: 20250831
Session source / medium,Sessions
google / organic,182
(direct) / (none),166
so / mail,27
m.facebook.com / referral,19
editor.wix.com / referral,16
l.facebook.com / referral,16
bing / organic,9
visitkokomo.org / referral,7
yahoo / organic,6
duckduckgo / organic,7
substack / email,3
manage.wix.com / referral,5
lm.facebook.com / referral,4
facebook.com / referral,2
kokomoartassociation.networkforgood.com / referral,2
l.instagram.com / referral,2
so / mail_lp,2
dnserrorassist.att.net / referral,1
us.search.yahoo.com / referral,0

# Start date: 20250701
# End date: 20250731
Session source / medium,Sessions
google / organic,60
(direct) / (none),30
so / mail,0
m.facebook.com / referral,1
editor.wix.com / referral,1
l.facebook.com / referral,0
bing / organic,4
visitkokomo.org / referral,4
yahoo / organic,2
duckduckgo / organic,0
substack / email,3
manage.wix.com / referral,0
lm.facebook.com / referral,0
facebook.com / referral,0
kokomoartassociation.networkforgood.com / referral,0
l.instagram.com / referral,0
so / mail_lp,0
dnserrorassist.att.net / referral,0
us.search.yahoo.com / referral,1

#  
# Start date: 20250801
# End date: 20250831
Nth day,new,returning
0000,8,2
0001,9,0
0002,5,1
0003,10,3
0004,9,2
0005,4,3
0006,14,5
0007,14,5
0008,5,1
0009,7,2
0010,10,3
0011,12,1
0012,8,2
0013,15,1
0014,10,4
0015,11,1
0016,8,4
0017,12,4
0018,10,4
0019,11,4
0020,78,3
0021,14,1
0022,17,7
0023,11,3
0024,5,4
0025,10,3
0026,10,4
0027,10,2
0028,16,6
0029,17,4
0030,7,1

# Start date: 20250701
# End date: 20250731
Nth day,new,returning
0000,0,0
0001,0,0
0002,0,0
0003,0,0
0004,0,0
0005,0,0
0006,0,0
0007,0,0
0008,0,0
0009,0,0
0010,0,0
0011,0,0
0012,0,0
0013,0,0
0014,0,0
0015,0,0
0016,0,0
0017,0,0
0018,0,0
0019,0,0
0020,1,0
0021,13,1
0022,8,1
0023,9,1
0024,6,0
0025,5,1
0026,5,0
0027,7,2
0028,9,4
0029,8,4
0030,7,0

# How does activity on your platforms compare?
# Start date: 20250801
# End date: 20250831
Platform,Event count
web,5837

# Start date: 20250701
# End date: 20250731
Platform,Event count
web,694

#  
# Start date: 20250801
# End date: 20250831
City,Active users
Kokomo,87
Indianapolis,44
Ashburn,10
Columbus,7
Moscow,8
Boardman,7
Marion,6
Chicago,4
Forest City,6
Logansport,6
San Jose,6
Detroit,4
Greenfield,3
Washington,4
Altoona,3
Burlington,1
Lafayette,1
New York,2
Raleigh,2
Rochester,3
Torrington,3
Abidjan,2
Atlanta,1
Cabot,0
Champaign,2
Dawsonville,2
Denver,1
Dhaka,2
Goshen,2
Hamilton,2
Houston,2
Hyderabad,1
London,2
Peru,2
Portland,1
Seattle,2
South Bend,2
Tashkent,2
Westfield,2
Wilson,2
3188,1
Adana,1
Alexandria,1
Anderson,1
Andijan,1
Angola,1
Antakya,1
Austin,1
Ayeyarwady,1
Ba Ria,1
Baghdad,1
Bhubaneswar,1
Bloomington,1
Bogota,1
Boston,1
Braila,1
Bridgman,1
Brookhaven,1
Burgdorf,1
Cadillac,1
Calhoun,1
Carmel,1
Ceyhan,1
Cibarusah,1
Ciudad Juarez,1
Clinton,1
Cobleskill,1
Dallas,1
Delaware,0
Doniphan,0
Dortyol,1
Drummondville,1
Dubai,1
Eatonton,1
El Oued,1
Englewood,1
Erie,0
Fishers,0
Flint Hill,0
Franca,1
Frankfort,0
Fresnes,1
Fresnillo,1
Galena,1
Gaziantep,1
Greentown,1
Greenville,0
Guangzhou,1
Guaruja,1
Guaymas,1
Guymon,1
Hachinohe,1
Hampton,0
Hancock,1
Hanoi,1
Hashima,1
Ho Chi Minh City,1
Incheon,1
Iskenderun,1
Istanbul,1
Izamal,1
Kagoshima,1
Kahramanmaras,1
Kansas City,0
Karachi,0
Karlstad,1
Kettering,1
Kilmarnock,1
Kochi,1
Kozan,1
Kyoto,1
La Rochelle,1
Lagos,1
Lancaster,1
Langwedel,1
Le Loroux-Bottereau,1
Louisville,1
Madisonville,1
Manawatu District,1
Merida,1
Mersin,1
Mielec,1
Milwaukee,1
Minsk,1
Mississauga,1
Monticello,1
Mumbai,0
Mutsu,1
Naperville,1
Nevsehir,1
Newport,1
Noblesville,1
North Branch,0
Northeim,1
Oklahoma City,1
Omaha,1
Onaway,1
Oranienburg,1
Osmaniye,1
Ouagadougou,1
Palencia,1
Paris,1
Phan Thiet,1
Plainfield,1
Pune,1
Richmond,1
Rio de Janeiro,1
Riyadh,1
Saguenay,1
Samarkand,1
San Diego,1
Sanaa,1
Santa Rosa,0
Schaumburg,0
Seville,1
Seymour,1
Sialkot,0
Silivri,1
Spirit Lake,0
Split,1
Squinzano,1
Sterling Heights,1
Stewartville,1
Tipton,1
Toronto,0
Urgup,1
Varanasi,1
Verden,1
Virginia Beach,0
Visakhapatnam,1
Vung Tau,1
Westbrook,1
Westland,1
Westminster,0
Yeosu-si,1
Youngstown,1

# Start date: 20250701
# End date: 20250731
City,Active users
Kokomo,24
Indianapolis,15
Ashburn,2
Columbus,1
Moscow,0
Boardman,0
Marion,1
Chicago,2
Forest City,0
Logansport,0
San Jose,0
Detroit,0
Greenfield,1
Washington,0
Altoona,0
Burlington,2
Lafayette,2
New York,1
Raleigh,1
Rochester,0
Torrington,0
Abidjan,0
Atlanta,1
Cabot,2
Champaign,0
Dawsonville,0
Denver,1
Dhaka,0
Goshen,0
Hamilton,0
Houston,0
Hyderabad,1
London,0
Peru,0
Portland,1
Seattle,0
South Bend,0
Tashkent,0
Westfield,0
Wilson,0
3188,0
Adana,0
Alexandria,0
Anderson,0
Andijan,0
Angola,0
Antakya,0
Austin,0
Ayeyarwady,0
Ba Ria,0
Baghdad,0
Bhubaneswar,0
Bloomington,0
Bogota,0
Boston,0
Braila,0
Bridgman,0
Brookhaven,0
Burgdorf,0
Cadillac,0
Calhoun,0
Carmel,0
Ceyhan,0
Cibarusah,0
Ciudad Juarez,0
Clinton,0
Cobleskill,0
Dallas,0
Delaware,1
Doniphan,1
Dortyol,0
Drummondville,0
Dubai,0
Eatonton,0
El Oued,0
Englewood,0
Erie,1
Fishers,1
Flint Hill,1
Franca,0
Frankfort,1
Fresnes,0
Fresnillo,0
Galena,0
Gaziantep,0
Greentown,0
Greenville,1
Guangzhou,0
Guaruja,0
Guaymas,0
Guymon,0
Hachinohe,0
Hampton,1
Hancock,0
Hanoi,0
Hashima,0
Ho Chi Minh City,0
Incheon,0
Iskenderun,0
Istanbul,0
Izamal,0
Kagoshima,0
Kahramanmaras,0
Kansas City,1
Karachi,1
Karlstad,0
Kettering,0
Kilmarnock,0
Kochi,0
Kozan,0
Kyoto,0
La Rochelle,0
Lagos,0
Lancaster,0
Langwedel,0
Le Loroux-Bottereau,0
Louisville,0
Madisonville,0
Manawatu District,0
Merida,0
Mersin,0
Mielec,0
Milwaukee,0
Minsk,0
Mississauga,0
Monticello,0
Mumbai,1
Mutsu,0
Naperville,0
Nevsehir,0
Newport,0
Noblesville,0
North Branch,1
Northeim,0
Oklahoma City,0
Omaha,0
Onaway,0
Oranienburg,0
Osmaniye,0
Ouagadougou,0
Palencia,0
Paris,0
Phan Thiet,0
Plainfield,0
Pune,0
Richmond,0
Rio de Janeiro,0
Riyadh,0
Saguenay,0
Samarkand,0
San Diego,0
Sanaa,0
Santa Rosa,1
Schaumburg,1
Seville,0
Seymour,0
Sialkot,1
Silivri,0
Spirit Lake,1
Split,0
Squinzano,0
Sterling Heights,0
Stewartville,0
Tipton,0
Toronto,1
Urgup,0
Varanasi,0
Verden,0
Virginia Beach,1
Visakhapatnam,0
Vung Tau,0
Westbrook,0
Westland,0
Westminster,1
Yeosu-si,0
Youngstown,0

#  
# Start date: 20250801
# End date: 20250831
Audience name,Active users
All Users,392

# Start date: 20250701
# End date: 20250731
Audience name,Active users
All Users,78
